customer_id,active_loans,aum,avg_rate,max_dpd,policy_active,annual_premium,cross_sell_eligible,priority_score
C101275,5,9019735.0,11.574,158,True,29374.0,0,91.31
C100756,4,8434784.0,12.5225,141,False,0.0,1,88.68
C101750,6,6126640.0,14.173333333333334,155,False,0.0,1,77.04
C101473,4,5885624.0,14.9,122,False,0.0,1,76.15
C103225,4,6062047.0,13.035,169,False,0.0,1,76.0
C103442,3,5839129.0,10.943333333333333,156,True,32015.0,0,73.52
C101198,2,5354446.0,13.435,177,False,0.0,1,72.37
C103691,3,6813472.0,13.653333333333334,92,True,26715.0,0,72.32
C103338,3,5212644.0,14.280000000000001,142,True,41682.0,0,72.1
C104702,2,4893409.0,16.07,158,False,0.0,1,71.42
C104928,3,5149935.0,11.046666666666667,146,False,0.0,1,69.81
C102347,2,4916785.0,12.185,129,False,0.0,1,69.22
C100856,3,4737557.0,13.75,180,False,0.0,1,69.18
C104041,3,5067621.0,10.686666666666667,152,False,0.0,1,69.15
C102613,4,5431814.0,11.195,112,False,0.0,1,69.11
C104304,2,5106941.0,9.420000000000002,125,False,0.0,1,68.6
C102688,4,4739511.0,12.5175,157,False,0.0,1,68.45
C103915,2,5052590.0,9.655,159,True,25475.0,0,68.45
C102383,3,4558216.0,14.143333333333333,164,False,0.0,1,68.43
C103190,4,4822949.0,12.61,118,False,0.0,1,68.38
C101556,3,9135505.0,13.666666666666666,34,False,0.0,1,68.12
C104554,4,4559199.0,13.36,167,False,0.0,1,67.97
C104237,2,4914947.0,9.705,119,False,0.0,1,67.43
C103158,3,4543286.0,12.306666666666667,155,False,0.0,1,67.25
C102420,4,8068638.0,11.82,54,False,0.0,1,67.0
C101997,3,4204465.0,14.823333333333332,176,True,42560.0,0,66.91
C104205,1,4580448.0,11.35,124,False,0.0,1,66.88
C103773,4,4650001.0,10.615,172,False,0.0,1,66.82
C103997,4,4110277.0,13.24,168,False,0.0,1,65.44
C103717,4,3923911.0,13.9175,135,False,0.0,1,64.83
C102700,5,4525449.0,14.790000000000001,106,True,13991.0,0,64.56
C104593,5,3703099.0,15.354,164,True,34000.0,0,64.48
C100663,5,3631103.0,15.780000000000001,157,True,15530.0,0,64.34
C101385,2,4140274.0,10.96,138,True,31329.0,0,64.24
C100448,5,4039045.0,11.82,180,True,23633.0,0,64.2
C101182,4,3759257.0,14.265,174,False,0.0,1,64.13
C102044,4,4931449.0,15.22,96,False,0.0,1,64.12
C103823,3,3962167.0,12.323333333333332,171,False,0.0,1,64.08
C102416,3,4945767.0,13.53,99,False,0.0,1,64.06
C103699,5,7760683.0,13.39,46,False,0.0,1,63.93
C102955,2,4312994.0,8.665,141,False,0.0,1,63.8
C104949,4,4074830.0,10.6125,169,False,0.0,1,63.67
C104670,2,3737019.0,13.620000000000001,124,False,0.0,1,63.63
C102196,5,3700712.0,13.084,144,True,15553.0,0,63.1
C101338,3,3620555.0,13.506666666666666,176,False,0.0,1,62.92
C102590,3,3452835.0,14.846666666666666,173,False,0.0,1,62.81
C102496,3,3769165.0,11.953333333333333,153,False,0.0,1,62.8
C104899,3,3722170.0,12.18,150,False,0.0,1,62.68
C104397,2,3639615.0,12.504999999999999,137,False,0.0,1,62.42
C100552,2,5639785.0,9.64,88,True,39674.0,0,62.32
C103204,3,3499404.0,13.343333333333334,165,True,28290.0,0,62.16
C102331,4,4762950.0,11.95,99,False,0.0,1,62.11
C101546,1,3998345.0,8.61,134,True,4892.0,0,62.05
C101042,2,3459741.0,13.09,138,False,0.0,1,61.79
C100159,4,3385183.0,13.685,173,False,0.0,1,61.74
C101418,3,7417326.0,10.496666666666668,50,True,20328.0,0,61.48
C104373,2,6139814.0,10.120000000000001,74,False,0.0,1,61.26
C103630,3,3196118.0,14.43,175,False,0.0,1,61.15
C101208,3,3455076.0,12.516666666666666,119,False,0.0,1,61.13
C104694,5,3433946.0,12.08,179,True,7063.0,0,61.04
C104287,5,5718991.0,10.048,80,False,0.0,1,60.66
C101784,2,2985924.0,15.344999999999999,166,True,7212.0,0,60.55
C104203,2,3881081.0,10.4,113,False,0.0,1,60.44
C101499,2,2806841.0,16.78,178,True,37810.0,0,60.43
C102360,2,3609922.0,8.885,174,False,0.0,1,60.09
C103361,4,3299504.0,11.7225,169,False,0.0,1,60.09
