state,product,loans,aum,original_amount,delinquency_rate,npl_rate,avg_rate,collection_efficiency
Delhi NCR,Auto Loan,144,68699405.0,137956000.0,0.9583333333333334,0.08333333333333333,11.899930555555555,0.7589607898835113
Delhi NCR,Business Loan,122,95235054.0,200720000.0,0.9754098360655737,0.08196721311475409,13.642950819672132,0.7468890954508577
Delhi NCR,Education Loan,56,16824750.0,35401000.0,0.9642857142857143,0.08928571428571429,10.7075,0.7612960540743178
Delhi NCR,Home Loan,131,278593139.0,482451000.0,0.9541984732824428,0.0916030534351145,9.585114503816795,0.7705530967005192
Delhi NCR,Personal Loan,232,56991516.0,109942000.0,0.9698275862068966,0.09482758620689655,16.64521551724138,0.7423302483389713
Gujarat,Auto Loan,154,75659884.0,152936000.0,0.974025974025974,0.11688311688311688,11.844545454545454,0.7201447303885007
Gujarat,Business Loan,141,121855271.0,242719000.0,0.9574468085106383,0.09929078014184398,14.230992907801419,0.7246372738571685
Gujarat,Education Loan,63,20801859.0,40772000.0,0.9682539682539683,0.12698412698412698,10.665873015873016,0.706789865965186
Gujarat,Home Loan,132,258691489.0,483776000.0,0.9545454545454546,0.10606060606060606,9.65840909090909,0.7157855393612041
Gujarat,Personal Loan,294,62598111.0,129793000.0,0.9625850340136054,0.1360544217687075,16.589489795918368,0.7197810929241192
Karnataka,Auto Loan,343,171176045.0,328837000.0,0.9708454810495627,0.07871720116618076,12.34262390670554,0.7518707566595337
Karnataka,Business Loan,299,235302657.0,465738000.0,0.9498327759197325,0.0903010033444816,14.25989966555184,0.7490327813055855
Karnataka,Education Loan,130,42409698.0,84061000.0,0.9769230769230769,0.06153846153846154,10.781384615384615,0.7515980755028339
Karnataka,Home Loan,263,452624988.0,922474000.0,0.9619771863117871,0.09505703422053231,9.760988593155894,0.7326789317865163
Karnataka,Personal Loan,584,147229740.0,290613000.0,0.976027397260274,0.09246575342465753,16.510462328767126,0.7386589515386486
Maharashtra,Auto Loan,267,131942358.0,250832000.0,0.951310861423221,0.09737827715355805,12.027790262172285,0.7360171163254964
Maharashtra,Business Loan,230,172402727.0,357049000.0,0.9608695652173913,0.09130434782608696,14.252434782608695,0.7298648631367747
Maharashtra,Education Loan,87,24369916.0,58645000.0,0.9310344827586207,0.08045977011494253,11.017701149425287,0.7367057279231163
Maharashtra,Home Loan,201,347624896.0,712015000.0,0.945273631840796,0.07960199004975124,9.677960199004975,0.7565906016379936
Maharashtra,Personal Loan,476,115520028.0,222737000.0,0.9684873949579832,0.07983193277310924,16.357857142857142,0.7460621549204108
Rajasthan,Auto Loan,140,73673811.0,137494000.0,0.95,0.05714285714285714,12.01907142857143,0.7733955427517197
Rajasthan,Business Loan,126,99943481.0,207624000.0,0.9682539682539683,0.05555555555555555,14.061190476190477,0.7616590612356602
Rajasthan,Education Loan,58,18676832.0,36545000.0,0.9655172413793104,0.06896551724137931,10.793103448275861,0.7779152593691425
Rajasthan,Home Loan,131,248696518.0,462282000.0,0.9694656488549618,0.1297709923664122,9.74732824427481,0.7209152236886248
Rajasthan,Personal Loan,264,68043925.0,129718000.0,0.9545454545454546,0.0946969696969697,16.553939393939395,0.7508953859462685
Tamil Nadu,Auto Loan,167,77978377.0,154458000.0,0.9281437125748503,0.10778443113772455,12.01383233532934,0.7455039065186014
Tamil Nadu,Business Loan,161,149689000.0,294934000.0,0.9627329192546584,0.09937888198757763,14.279875776397516,0.7450187437995889
Tamil Nadu,Education Loan,74,22237742.0,50095000.0,0.9594594594594594,0.05405405405405406,10.985135135135135,0.7611434905937803
Tamil Nadu,Home Loan,137,244234259.0,496577000.0,0.9708029197080292,0.1386861313868613,9.792116788321168,0.7165136926891644
Tamil Nadu,Personal Loan,313,75503817.0,147792000.0,0.952076677316294,0.0670926517571885,16.901597444089457,0.7449768853928104
Telangana,Auto Loan,141,72365855.0,139138000.0,0.9716312056737588,0.04964539007092199,12.032553191489361,0.7457238036547447
Telangana,Business Loan,114,94329226.0,197741000.0,0.9912280701754386,0.08771929824561403,14.200263157894737,0.7313351861074093
Telangana,Education Loan,54,17737626.0,31848000.0,0.9629629629629629,0.07407407407407407,11.071111111111112,0.7487935744697786
Telangana,Home Loan,119,206396037.0,425292000.0,0.9747899159663865,0.10084033613445378,9.797142857142857,0.7267258008871502
Telangana,Personal Loan,300,76069033.0,145826000.0,0.9533333333333334,0.09666666666666666,16.204666666666665,0.7376706363826906
West Bengal,Auto Loan,109,49012882.0,102825000.0,0.981651376146789,0.1651376146788991,12.04724770642202,0.7054719191852278
West Bengal,Business Loan,98,85314806.0,164823000.0,0.9489795918367347,0.10204081632653061,14.182448979591838,0.7579414029712509
West Bengal,Education Loan,41,11962859.0,25235000.0,0.9512195121951219,0.12195121951219512,10.769756097560975,0.7234551120519627
West Bengal,Home Loan,86,155145902.0,297566000.0,0.9302325581395349,0.05813953488372093,9.899651162790697,0.7515451458154735
West Bengal,Personal Loan,218,49698421.0,99912000.0,0.981651376146789,0.12385321100917432,16.649357798165138,0.7144732225060704
