customer_id,age,annual_income,segment,credit_score,state,city,customer_since
C100001,25,180000.0,Mass,734,Telangana,Mumbai,2019-04-26
C100002,52,180000.0,Mass,801,West Bengal,Hyderabad,2022-09-29
C100003,47,180000.0,Mass,794,Karnataka,Ahmedabad,2024-10-25
C100004,39,180000.0,Mass,721,Karnataka,Mumbai,2024-10-02
C100005,38,180000.0,Mass,568,Tamil Nadu,Bengaluru,2024-02-03
C100006,55,180000.0,Mass,648,West Bengal,Delhi,2020-03-03
C100007,25,180000.0,Mass,770,Karnataka,Delhi,2022-11-22
C100008,49,180000.0,Mass,619,West Bengal,Mumbai,2019-09-21
C100009,29,180000.0,Mass,699,Maharashtra,Hyderabad,2024-09-16
C100010,25,180000.0,Mass,742,Gujarat,Jaipur,2023-06-28
C100011,42,180000.0,Mass,816,Maharashtra,Kolkata,2020-05-18
C100012,60,180000.0,Mass,683,Rajasthan,Chennai,2024-03-04
C100013,50,180000.0,Mass,678,Karnataka,Bengaluru,2024-02-14
C100014,51,180000.0,Mass,717,Tamil Nadu,Delhi,2019-05-18
C100015,49,180000.0,Mass,743,Karnataka,Hyderabad,2019-08-20
C100016,52,180000.0,Mass,710,Rajasthan,Jaipur,2020-06-06
C100017,42,180000.0,Mass,788,Delhi NCR,Hyderabad,2019-07-02
C100018,26,180000.0,Mass,668,Maharashtra,Delhi,2022-10-28
C100019,54,180000.0,Mass,728,Maharashtra,Hyderabad,2025-04-06
C100020,39,180000.0,Mass,749,Maharashtra,Hyderabad,2019-06-13
C100021,41,180000.0,Mass,694,Gujarat,Ahmedabad,2023-05-17
C100022,36,180000.0,Mass,775,Delhi NCR,Chennai,2022-01-07
C100023,29,180000.0,Mass,730,Tamil Nadu,Ahmedabad,2024-12-14
C100024,58,180000.0,Mass,771,Gujarat,Chennai,2022-06-07
C100025,52,180000.0,Mass,733,Telangana,Jaipur,2023-10-05
C100026,47,180000.0,Mass,744,Gujarat,Ahmedabad,2025-07-24
C100027,37,180000.0,Mass,679,Karnataka,Chennai,2019-12-21
C100028,54,180000.0,Mass,679,Karnataka,Jaipur,2021-03-31
C100029,43,180000.0,Mass,800,Maharashtra,Mumbai,2020-12-02
C100030,39,180000.0,Mass,761,Tamil Nadu,Ahmedabad,2020-03-14
C100031,39,180000.0,Mass,654,Karnataka,Chennai,2023-08-12
C100032,30,180000.0,Mass,732,Tamil Nadu,Chennai,2019-01-20
C100033,25,180000.0,Mass,566,Maharashtra,Ahmedabad,2021-09-30
C100034,43,180000.0,Mass,683,Telangana,Kolkata,2019-11-13
C100035,56,180000.0,Mass,782,Karnataka,Chennai,2023-05-19
C100036,24,180000.0,Mass,712,Gujarat,Ahmedabad,2024-05-06
C100037,55,180000.0,Mass,728,Karnataka,Chennai,2022-04-28
C100038,54,180000.0,Mass,524,Maharashtra,Jaipur,2022-03-02
C100039,32,180000.0,Mass,695,Karnataka,Jaipur,2022-03-15
C100040,46,180000.0,Mass,742,Gujarat,Mumbai,2020-05-31
C100041,28,180000.0,Mass,750,Delhi NCR,Bengaluru,2021-09-03
C100042,51,180000.0,Mass,783,Karnataka,Bengaluru,2025-08-22
C100043,49,180000.0,Mass,706,Delhi NCR,Chennai,2019-04-18
C100044,35,180000.0,Mass,709,Tamil Nadu,Delhi,2024-08-09
C100045,24,180000.0,Mass,633,Gujarat,Bengaluru,2020-03-04
C100046,59,180000.0,Mass,707,Tamil Nadu,Hyderabad,2019-10-25
C100047,39,180000.0,Mass,638,Maharashtra,Chennai,2021-01-12
C100048,56,180000.0,Mass,600,Telangana,Jaipur,2020-11-30
C100049,48,180000.0,Mass,649,Delhi NCR,Hyderabad,2021-04-02
C100050,52,223000.0,Mass,818,Delhi NCR,Chennai,2025-01-17
C100051,51,180000.0,Mass,702,Maharashtra,Hyderabad,2025-06-10
C100052,29,180000.0,Mass,734,Telangana,Mumbai,2023-12-06
C100053,36,180000.0,Mass,687,Karnataka,Chennai,2020-01-16
C100054,40,180000.0,Mass,604,Gujarat,Ahmedabad,2025-09-24
C100055,41,180000.0,Mass,781,Karnataka,Mumbai,2025-01-12
C100056,23,180000.0,Mass,579,Karnataka,Chennai,2019-07-18
C100057,43,180000.0,Mass,684,Telangana,Delhi,2021-10-04
C100058,28,180000.0,Mass,716,West Bengal,Hyderabad,2024-07-09
C100059,50,180000.0,Mass,735,Karnataka,Jaipur,2019-08-20
C100060,48,180000.0,Mass,673,Tamil Nadu,Ahmedabad,2019-07-18
C100061,57,180000.0,Mass,601,Telangana,Delhi,2023-04-25
C100062,51,180000.0,Mass,668,Rajasthan,Hyderabad,2021-05-25
C100063,36,180000.0,Mass,671,Telangana,Kolkata,2022-02-22
C100064,59,180000.0,Mass,670,Karnataka,Jaipur,2024-05-05
C100065,38,180000.0,Mass,783,Karnataka,Delhi,2022-11-17
C100066,34,180000.0,Mass,641,Telangana,Chennai,2024-01-23
C100067,57,180000.0,Mass,740,Karnataka,Hyderabad,2019-11-24
C100068,36,180000.0,Mass,730,Rajasthan,Delhi,2019-01-06
C100069,24,180000.0,Mass,782,Rajasthan,Kolkata,2020-10-16
C100070,40,180000.0,Mass,711,Rajasthan,Mumbai,2020-06-09
C100071,53,180000.0,Mass,771,Maharashtra,Kolkata,2021-04-22
C100072,29,180000.0,Mass,709,Telangana,Kolkata,2024-07-17
C100073,40,180000.0,Mass,748,Telangana,Bengaluru,2020-01-31
C100074,27,180000.0,Mass,622,Karnataka,Ahmedabad,2019-11-24
C100075,48,180000.0,Mass,549,Maharashtra,Mumbai,2020-06-05
C100076,40,180000.0,Mass,745,Karnataka,Hyderabad,2021-04-28
C100077,34,180000.0,Mass,748,Maharashtra,Mumbai,2020-05-27
C100078,30,180000.0,Mass,751,Rajasthan,Ahmedabad,2020-04-23
C100079,44,187000.0,Mass,686,West Bengal,Mumbai,2023-02-15
C100080,48,180000.0,Mass,817,Maharashtra,Bengaluru,2019-10-17
C100081,58,180000.0,Mass,690,Tamil Nadu,Chennai,2020-02-05
C100082,39,180000.0,Mass,747,Karnataka,Ahmedabad,2024-12-15
C100083,28,180000.0,Mass,759,Maharashtra,Hyderabad,2019-02-17
C100084,54,180000.0,Mass,832,Karnataka,Mumbai,2019-06-09
C100085,46,180000.0,Mass,699,Telangana,Ahmedabad,2019-06-30
C100086,49,180000.0,Mass,678,Telangana,Jaipur,2022-10-25
C100087,25,180000.0,Mass,623,West Bengal,Kolkata,2023-12-12
C100088,34,180000.0,Mass,821,West Bengal,Ahmedabad,2023-12-06
C100089,51,180000.0,Mass,747,Karnataka,Mumbai,2023-11-30
C100090,54,180000.0,Mass,749,Delhi NCR,Jaipur,2019-05-30
C100091,38,180000.0,Mass,850,Karnataka,Delhi,2021-06-14
C100092,53,180000.0,Mass,741,Maharashtra,Chennai,2023-07-05
C100093,54,180000.0,Mass,635,Tamil Nadu,Delhi,2023-11-09
C100094,37,180000.0,Mass,707,Karnataka,Mumbai,2021-05-18
C100095,57,180000.0,Mass,657,Karnataka,Chennai,2025-01-10
C100096,33,180000.0,Mass,694,Maharashtra,Chennai,2024-12-07
C100097,31,180000.0,Mass,694,Karnataka,Delhi,2024-06-13
C100098,48,180000.0,Mass,682,Rajasthan,Mumbai,2024-09-04
C100099,46,180000.0,Mass,629,Maharashtra,Chennai,2025-12-10
C100100,27,180000.0,Mass,824,Gujarat,Kolkata,2024-08-26
C100101,54,180000.0,Mass,739,Rajasthan,Mumbai,2023-03-03
C100102,29,201000.0,Mass,705,Tamil Nadu,Bengaluru,2021-11-02
C100103,53,180000.0,Mass,769,Gujarat,Kolkata,2021-07-30
C100104,22,180000.0,Mass,751,Rajasthan,Kolkata,2024-11-08
C100105,53,180000.0,Mass,738,Maharashtra,Chennai,2021-02-08
C100106,52,180000.0,Mass,765,Karnataka,Bengaluru,2023-06-26
C100107,52,180000.0,Mass,729,Tamil Nadu,Hyderabad,2022-07-31
C100108,47,180000.0,Mass,764,Gujarat,Ahmedabad,2021-09-11
C100109,40,180000.0,Mass,769,Delhi NCR,Hyderabad,2022-03-18
C100110,49,180000.0,Mass,731,Karnataka,Mumbai,2019-07-29
C100111,32,180000.0,Mass,706,Tamil Nadu,Kolkata,2024-01-19
C100112,52,180000.0,Mass,819,Telangana,Delhi,2019-06-23
C100113,43,180000.0,Mass,689,Rajasthan,Delhi,2019-07-11
C100114,39,180000.0,Mass,745,Karnataka,Hyderabad,2020-10-15
C100115,41,180000.0,Mass,747,Maharashtra,Mumbai,2022-10-13
C100116,44,180000.0,Mass,680,Rajasthan,Jaipur,2021-02-17
C100117,23,180000.0,Mass,667,Telangana,Ahmedabad,2025-04-07
C100118,27,180000.0,Mass,697,Karnataka,Ahmedabad,2025-08-08
C100119,31,180000.0,Mass,688,Karnataka,Jaipur,2021-10-19
C100120,26,180000.0,Mass,625,Delhi NCR,Bengaluru,2026-02-12
C100121,39,180000.0,Mass,678,Tamil Nadu,Mumbai,2019-08-20
C100122,48,180000.0,Mass,737,Tamil Nadu,Kolkata,2020-01-09
