policy_id,customer_id,policy_type,annual_premium,policy_active
P500001,C100001,Health,0.0,False
P500002,C100002,Personal Accident,0.0,False
P500003,C100003,Life,32510.0,True
P500004,C100004,Health,0.0,False
P500005,C100005,Personal Accident,0.0,False
P500006,C100006,Motor,0.0,False
P500007,C100007,Personal Accident,36302.0,True
P500008,C100008,Motor,0.0,False
P500009,C100009,Personal Accident,18160.0,True
P500010,C100010,Life,0.0,False
P500011,C100011,Life,0.0,False
P500012,C100012,Health,38308.0,True
P500013,C100013,Motor,22999.0,True
P500014,C100014,Life,0.0,False
P500015,C100015,Life,0.0,False
P500016,C100016,Life,0.0,False
P500017,C100017,Life,19815.0,True
P500018,C100018,Health,0.0,False
P500019,C100019,Life,21778.0,True
P500020,C100020,Motor,0.0,False
P500021,C100021,Personal Accident,0.0,False
P500022,C100022,Personal Accident,12046.0,True
P500023,C100023,Health,10209.0,True
P500024,C100024,Life,13485.0,True
P500025,C100025,Health,0.0,False
P500026,C100026,Personal Accident,8623.0,True
P500027,C100027,Personal Accident,0.0,False
P500028,C100028,Personal Accident,18588.0,True
P500029,C100029,Motor,22321.0,True
P500030,C100030,Health,0.0,False
P500031,C100031,Motor,0.0,False
P500032,C100032,Health,0.0,False
P500033,C100033,Motor,0.0,False
P500034,C100034,Personal Accident,37382.0,True
P500035,C100035,Health,0.0,False
P500036,C100036,Personal Accident,0.0,False
P500037,C100037,Personal Accident,0.0,False
P500038,C100038,Life,0.0,False
P500039,C100039,Life,36178.0,True
P500040,C100040,Health,0.0,False
P500041,C100041,Life,0.0,False
P500042,C100042,Motor,0.0,False
P500043,C100043,Health,0.0,False
P500044,C100044,Health,11787.0,True
P500045,C100045,Life,5377.0,True
P500046,C100046,Health,43037.0,True
P500047,C100047,Motor,0.0,False
P500048,C100048,Motor,0.0,False
P500049,C100049,Life,32782.0,True
P500050,C100050,Health,0.0,False
P500051,C100051,Personal Accident,0.0,False
P500052,C100052,Life,21250.0,True
P500053,C100053,Motor,12914.0,True
P500054,C100054,Motor,0.0,False
P500055,C100055,Motor,0.0,False
P500056,C100056,Personal Accident,0.0,False
P500057,C100057,Life,0.0,False
P500058,C100058,Motor,0.0,False
P500059,C100059,Motor,0.0,False
P500060,C100060,Health,0.0,False
P500061,C100061,Personal Accident,0.0,False
P500062,C100062,Personal Accident,0.0,False
P500063,C100063,Life,0.0,False
P500064,C100064,Life,0.0,False
P500065,C100065,Health,0.0,False
P500066,C100066,Motor,0.0,False
P500067,C100067,Health,0.0,False
P500068,C100068,Personal Accident,0.0,False
P500069,C100069,Health,0.0,False
P500070,C100070,Motor,25349.0,True
P500071,C100071,Personal Accident,0.0,False
P500072,C100072,Life,0.0,False
P500073,C100073,Life,0.0,False
P500074,C100074,Health,0.0,False
P500075,C100075,Personal Accident,0.0,False
P500076,C100076,Life,30160.0,True
P500077,C100077,Motor,0.0,False
P500078,C100078,Life,0.0,False
P500079,C100079,Motor,0.0,False
P500080,C100080,Motor,0.0,False
P500081,C100081,Life,0.0,False
P500082,C100082,Health,0.0,False
P500083,C100083,Health,19658.0,True
P500084,C100084,Life,0.0,False
P500085,C100085,Life,0.0,False
P500086,C100086,Health,38836.0,True
P500087,C100087,Health,7723.0,True
P500088,C100088,Health,11235.0,True
P500089,C100089,Personal Accident,0.0,False
P500090,C100090,Personal Accident,17108.0,True
P500091,C100091,Motor,8981.0,True
P500092,C100092,Health,0.0,False
P500093,C100093,Personal Accident,0.0,False
P500094,C100094,Personal Accident,0.0,False
P500095,C100095,Life,0.0,False
P500096,C100096,Life,0.0,False
P500097,C100097,Health,0.0,False
P500098,C100098,Health,0.0,False
P500099,C100099,Health,0.0,False
P500100,C100100,Life,20090.0,True
P500101,C100101,Motor,0.0,False
P500102,C100102,Motor,0.0,False
P500103,C100103,Health,0.0,False
P500104,C100104,Motor,0.0,False
P500105,C100105,Personal Accident,0.0,False
P500106,C100106,Life,0.0,False
P500107,C100107,Health,0.0,False
P500108,C100108,Health,0.0,False
P500109,C100109,Health,0.0,False
P500110,C100110,Life,0.0,False
P500111,C100111,Life,38597.0,True
P500112,C100112,Life,0.0,False
P500113,C100113,Health,0.0,False
P500114,C100114,Personal Accident,33460.0,True
P500115,C100115,Life,0.0,False
P500116,C100116,Personal Accident,0.0,False
P500117,C100117,Health,0.0,False
P500118,C100118,Health,0.0,False
P500119,C100119,Health,0.0,False
P500120,C100120,Life,11439.0,True
P500121,C100121,Motor,9864.0,True
P500122,C100122,Motor,0.0,False
P500123,C100123,Life,0.0,False
P500124,C100124,Health,0.0,False
P500125,C100125,Health,9983.0,True
P500126,C100126,Personal Accident,0.0,False
P500127,C100127,Health,0.0,False
P500128,C100128,Motor,0.0,False
P500129,C100129,Motor,9636.0,True
P500130,C100130,Motor,0.0,False
P500131,C100131,Health,0.0,False
P500132,C100132,Life,28186.0,True
P500133,C100133,Motor,0.0,False
P500134,C100134,Personal Accident,0.0,False
P500135,C100135,Motor,23832.0,True
P500136,C100136,Life,0.0,False
P500137,C100137,Health,0.0,False
P500138,C100138,Personal Accident,0.0,False
P500139,C100139,Life,21728.0,True
P500140,C100140,Health,27015.0,True
P500141,C100141,Life,0.0,False
P500142,C100142,Life,0.0,False
P500143,C100143,Life,0.0,False
P500144,C100144,Motor,0.0,False
P500145,C100145,Life,9397.0,True
P500146,C100146,Health,0.0,False
P500147,C100147,Life,23046.0,True
P500148,C100148,Motor,24420.0,True
P500149,C100149,Life,0.0,False
P500150,C100150,Personal Accident,0.0,False
P500151,C100151,Motor,32582.0,True
P500152,C100152,Life,0.0,False
P500153,C100153,Life,0.0,False
P500154,C100154,Motor,0.0,False
P500155,C100155,Health,0.0,False
P500156,C100156,Motor,10048.0,True
P500157,C100157,Health,0.0,False
P500158,C100158,Motor,0.0,False
P500159,C100159,Health,0.0,False
P500160,C100160,Life,0.0,False
P500161,C100161,Motor,0.0,False
P500162,C100162,Life,23117.0,True
P500163,C100163,Life,0.0,False
P500164,C100164,Motor,0.0,False
P500165,C100165,Health,0.0,False
P500166,C100166,Life,0.0,False
P500167,C100167,Health,8284.0,True
P500168,C100168,Life,9817.0,True
P500169,C100169,Personal Accident,0.0,False
P500170,C100170,Life,0.0,False
P500171,C100171,Personal Accident,10629.0,True
P500172,C100172,Personal Accident,41051.0,True
P500173,C100173,Life,0.0,False
P500174,C100174,Personal Accident,42034.0,True
P500175,C100175,Life,0.0,False
P500176,C100176,Health,0.0,False
P500177,C100177,Motor,0.0,False
P500178,C100178,Personal Accident,33424.0,True
P500179,C100179,Health,0.0,False
P500180,C100180,Health,0.0,False
P500181,C100181,Life,29509.0,True
P500182,C100182,Personal Accident,0.0,False
P500183,C100183,Health,0.0,False
P500184,C100184,Motor,0.0,False
P500185,C100185,Health,0.0,False
P500186,C100186,Health,33200.0,True
P500187,C100187,Personal Accident,0.0,False
P500188,C100188,Health,9521.0,True
P500189,C100189,Health,0.0,False
P500190,C100190,Motor,0.0,False
P500191,C100191,Personal Accident,0.0,False
P500192,C100192,Motor,0.0,False
P500193,C100193,Health,8683.0,True
P500194,C100194,Personal Accident,13304.0,True
P500195,C100195,Life,0.0,False
P500196,C100196,Personal Accident,15147.0,True
P500197,C100197,Life,22393.0,True
P500198,C100198,Personal Accident,0.0,False
P500199,C100199,Personal Accident,0.0,False
P500200,C100200,Health,0.0,False
