loan_id,customer_id,product,channel,disbursement_date,original_amount,tenure_months,interest_rate,dpd,loan_status,outstanding_principal
L200001,C102872,Home Loan,Branch,2023-03-14,4611000.0,48,10.19,3,Delinquent,717559.0
L200002,C101373,Business Loan,Partner,2025-02-14,1056000.0,12,14.97,2,Delinquent,84480.0
L200003,C103624,Business Loan,Branch,2023-06-08,406000.0,60,15.69,3,Delinquent,113971.0
L200004,C102635,Personal Loan,Branch,2023-03-09,814000.0,12,15.75,55,Delinquent,172876.0
L200005,C104754,Auto Loan,DSA,2023-12-22,725000.0,120,11.54,129,NPL,517121.0
L200006,C102425,Auto Loan,Digital,2025-03-14,394000.0,12,13.83,28,Delinquent,33416.0
L200007,C100783,Business Loan,Partner,2025-09-15,1076000.0,84,13.78,135,NPL,888635.0
L200008,C104610,Home Loan,Digital,2024-12-18,4442000.0,48,10.41,0,Current,2364691.0
L200009,C101545,Personal Loan,Digital,2025-02-23,879000.0,60,11.55,12,Delinquent,662458.0
L200010,C103821,Personal Loan,Branch,2023-10-18,708000.0,60,21.94,130,NPL,301083.0
L200011,C103914,Personal Loan,Partner,2023-05-09,673000.0,36,18.89,148,NPL,90618.0
L200012,C104624,Personal Loan,Digital,2023-05-16,140000.0,120,16.55,8,Delinquent,101113.0
L200013,C103201,Personal Loan,Digital,2023-04-01,444000.0,84,14.3,4,Delinquent,209598.0
L200014,C102559,Personal Loan,DSA,2024-02-21,452000.0,48,20.76,12,Delinquent,170019.0
L200015,C101925,Business Loan,Branch,2025-06-16,991000.0,120,11.29,8,Delinquent,935933.0
L200016,C102234,Personal Loan,Partner,2023-03-14,467000.0,84,21.74,4,Delinquent,229188.0
L200017,C103902,Personal Loan,Digital,2024-02-20,378000.0,36,17.49,12,Delinquent,46702.0
L200018,C102831,Business Loan,DSA,2024-12-21,966000.0,60,17.08,0,Current,576705.0
L200019,C100246,Personal Loan,DSA,2023-03-13,869000.0,24,11.96,1,Delinquent,114799.0
L200020,C101861,Auto Loan,Digital,2024-10-17,742000.0,36,11.34,16,Delinquent,344246.0
L200021,C104571,Business Loan,DSA,2024-04-22,1564000.0,36,17.28,15,Delinquent,251302.0
L200022,C101055,Personal Loan,DSA,2026-01-06,699000.0,60,14.79,17,Delinquent,615881.0
L200023,C102362,Home Loan,Branch,2024-08-18,5287000.0,36,9.35,2,Delinquent,1223631.0
L200024,C104184,Personal Loan,DSA,2024-09-13,777000.0,24,11.64,128,NPL,141157.0
L200025,C101452,Home Loan,Digital,2025-10-17,4206000.0,36,9.39,11,Delinquent,2904452.0
L200026,C103403,Auto Loan,DSA,2025-05-25,280000.0,84,10.88,1,Delinquent,242626.0
L200027,C103926,Personal Loan,DSA,2024-10-19,133000.0,12,11.79,10,Delinquent,23636.0
L200028,C101629,Home Loan,Branch,2025-03-07,3037000.0,48,9.83,129,NPL,1844515.0
L200029,C104479,Home Loan,Branch,2024-04-29,1737000.0,48,10.56,22,Delinquent,683869.0
