repayment_id,loan_id,due_date,amount_due,amount_paid,payment_status
R300001,L200001,2024-07-06,96062.0,68053.0,Partial
R300002,L200002,2025-06-14,88000.0,60013.0,Partial
R300003,L200003,2025-01-28,6767.0,6060.0,Partial
R300004,L200004,2023-07-07,67833.0,55534.0,Partial
R300005,L200005,2027-04-05,6042.0,1202.0,Partial
R300006,L200006,2025-07-12,32833.0,25775.0,Partial
R300007,L200007,2028-01-03,12810.0,6683.0,Partial
R300008,L200008,2026-04-12,92542.0,87821.0,Partial
R300009,L200009,2026-10-16,14650.0,12254.0,Partial
R300010,L200010,2025-06-09,11800.0,3001.0,Partial
R300011,L200011,2024-05-03,18694.0,1305.0,Partial
R300012,L200012,2026-08-28,1167.0,773.0,Partial
R300013,L200013,2025-07-19,5286.0,3658.0,Partial
R300014,L200014,2025-06-15,9417.0,7485.0,Partial
R300015,L200015,2028-09-28,8258.0,6230.0,Partial
R300016,L200016,2025-07-01,5560.0,4533.0,Partial
R300017,L200017,2025-02-14,10500.0,8443.0,Partial
R300018,L200018,2026-08-13,16100.0,15518.0,Partial
R300019,L200019,2023-11-08,36208.0,23946.0,Partial
R300020,L200020,2025-10-12,20611.0,16750.0,Partial
R300021,L200021,2025-04-17,43444.0,34901.0,Partial
R300022,L200022,2027-08-29,11650.0,7595.0,Partial
R300023,L200023,2025-08-13,146861.0,138352.0,Partial
R300024,L200024,2025-05-11,32375.0,15807.0,Partial
R300025,L200025,2026-10-12,116833.0,70927.0,Partial
R300026,L200026,2027-09-12,3333.0,2902.0,Partial
R300027,L200027,2025-02-16,11083.0,9777.0,Partial
R300028,L200028,2026-06-30,63271.0,28759.0,Partial
R300029,L200029,2025-08-22,36188.0,32772.0,Partial
R300030,L200030,2027-08-07,3905.0,2352.0,Partial
R300031,L200031,2024-09-02,36208.0,24609.0,Partial
R300032,L200032,2025-01-06,23639.0,15273.0,Partial
R300033,L200033,2026-01-19,64417.0,55323.0,Partial
R300034,L200034,2025-01-08,36042.0,31055.0,Partial
R300035,L200035,2027-01-17,10964.0,4856.0,Partial
R300036,L200036,2024-09-15,29042.0,26486.0,Partial
R300037,L200037,2026-06-06,4988.0,4445.0,Partial
R300038,L200038,2026-06-14,104958.0,75205.0,Partial
R300039,L200039,2027-01-16,11536.0,7220.0,Partial
R300040,L200040,2024-12-23,14944.0,13048.0,Partial
R300041,L200041,2024-09-27,8667.0,7695.0,Partial
R300042,L200042,2026-06-12,53800.0,50117.0,Partial
R300043,L200043,2025-10-15,6283.0,4094.0,Partial
R300044,L200044,2027-01-05,17056.0,11743.0,Partial
R300045,L200045,2024-02-17,27444.0,18527.0,Partial
R300046,L200046,2026-11-20,19717.0,16656.0,Partial
R300047,L200047,2027-07-18,9233.0,8069.0,Partial
R300048,L200048,2025-03-12,22958.0,16972.0,Partial
R300049,L200049,2026-08-29,20229.0,14178.0,Partial
R300050,L200050,2025-01-07,497250.0,404410.0,Partial
R300051,L200051,2023-07-29,53333.0,45565.0,Partial
R300052,L200052,2026-08-15,20267.0,18540.0,Partial
R300053,L200053,2024-03-30,85625.0,55438.0,Partial
R300054,L200054,2026-10-12,5333.0,5253.0,Partial
R300055,L200055,2024-02-14,212000.0,181267.0,Partial
R300056,L200056,2027-11-28,22476.0,17939.0,Partial
