transaction_id,customer_id,transaction_date,transaction_type,amount
T400001,C101927,2025-07-26,SALARY,3366.38
T400002,C104895,2026-03-14,POS,5916.61
T400003,C104353,2025-04-12,SALARY,2030.45
T400004,C103788,2025-04-16,NEFT,1680.2
T400005,C103207,2026-06-23,UPI,3710.42
T400006,C101756,2025-07-05,IMPS,775.66
T400007,C104050,2026-07-24,ATM,4264.18
T400008,C103717,2026-04-10,UPI,4645.87
T400009,C100406,2025-12-16,NEFT,26761.14
T400010,C104313,2026-06-20,UPI,4809.56
T400011,C101058,2025-02-09,UPI,101.33
T400012,C102688,2025-11-22,ATM,12083.13
T400013,C100517,2026-04-10,UPI,11173.34
T400014,C104829,2026-06-15,POS,3530.14
T400015,C103190,2026-01-08,ATM,6989.99
T400016,C103870,2025-05-17,UPI,7033.02
T400017,C102314,2026-01-13,POS,2016.01
T400018,C102990,2025-12-05,UPI,11834.05
T400019,C100227,2025-04-29,SALARY,5369.26
T400020,C103073,2025-03-04,UPI,5934.47
T400021,C103015,2025-10-25,UPI,852.7
T400022,C100116,2026-03-22,NEFT,1823.47
T400023,C102468,2025-03-18,SALARY,2310.53
T400024,C103957,2026-02-24,UPI,2457.88
T400025,C100558,2025-04-13,SALARY,2485.58
T400026,C102499,2026-06-19,UPI,4700.48
T400027,C102929,2025-08-18,SALARY,10368.11
T400028,C101410,2026-05-13,NEFT,5345.46
T400029,C104423,2025-11-10,ATM,6763.6
T400030,C103542,2026-06-09,POS,5432.21
T400031,C102812,2025-09-17,NEFT,5133.66
T400032,C102172,2026-06-05,IMPS,1626.4
T400033,C100746,2025-09-22,IMPS,2860.37
T400034,C102041,2026-01-19,SALARY,1380.87
T400035,C101190,2025-08-04,UPI,7587.76
T400036,C103104,2026-06-10,POS,16776.33
T400037,C102362,2025-07-10,IMPS,5145.95
T400038,C101407,2025-09-11,UPI,1172.43
T400039,C100447,2025-05-13,ATM,4400.76
T400040,C102125,2025-10-30,ATM,1834.51
T400041,C100010,2026-02-17,POS,1890.4
T400042,C101756,2026-07-13,POS,2550.54
T400043,C103491,2026-05-04,POS,1432.24
T400044,C104765,2025-03-30,SALARY,3097.42
T400045,C100424,2026-01-30,ATM,5544.64
T400046,C104504,2025-08-31,SALARY,4420.14
T400047,C103433,2025-01-09,UPI,2070.49
T400048,C102662,2025-11-07,NEFT,5569.68
T400049,C103880,2026-02-02,SALARY,14040.16
T400050,C102681,2025-04-14,POS,904.02
T400051,C100312,2025-08-26,UPI,3268.45
T400052,C103113,2025-06-26,ATM,3977.01
T400053,C100423,2025-04-11,UPI,4340.4
T400054,C101194,2025-01-05,ATM,17937.76
T400055,C103214,2025-09-29,UPI,1314.82
T400056,C101853,2026-07-01,NEFT,2208.59
T400057,C102777,2026-01-17,SALARY,7515.86
T400058,C104912,2025-02-11,POS,2081.69
T400059,C101636,2025-06-01,POS,4762.89
T400060,C102738,2026-07-17,ATM,1211.38
T400061,C102692,2025-02-13,POS,1122.36
T400062,C100950,2026-06-01,UPI,2854.52
T400063,C104640,2026-03-18,IMPS,12022.43
T400064,C103346,2025-09-10,NEFT,7374.85
T400065,C102756,2025-08-30,UPI,9520.22
T400066,C103929,2025-06-13,ATM,417.26
T400067,C101786,2025-12-10,SALARY,4086.63
T400068,C102975,2026-05-22,POS,5105.74
T400069,C104715,2025-04-10,SALARY,875.58
T400070,C104287,2025-07-14,POS,10757.57
T400071,C100707,2025-04-29,ATM,7067.64
T400072,C103237,2025-01-13,NEFT,4395.34
T400073,C104703,2025-08-30,ATM,16918.99
T400074,C104135,2025-10-14,SALARY,15203.29
T400075,C102796,2025-03-01,POS,3810.19
T400076,C100486,2026-05-19,SALARY,13156.72
T400077,C100458,2025-12-08,POS,2908.67
T400078,C104444,2026-03-23,SALARY,3813.1
T400079,C101469,2026-03-24,IMPS,3031.63
T400080,C104610,2026-03-20,UPI,11359.42
T400081,C104696,2025-05-17,IMPS,3863.53
T400082,C100147,2025-06-05,SALARY,1342.88
T400083,C100607,2026-01-08,UPI,13166.0
T400084,C100544,2025-03-18,IMPS,3308.44
T400085,C102019,2026-01-05,POS,2997.92
T400086,C101692,2025-10-03,POS,738.54
T400087,C102899,2025-04-06,UPI,2163.36
T400088,C102665,2025-08-28,IMPS,3941.82
T400089,C104406,2025-04-28,POS,17215.98
T400090,C103311,2025-05-24,POS,12513.3
T400091,C100469,2025-07-23,NEFT,9886.04
T400092,C100499,2026-02-03,UPI,359.77
T400093,C103580,2025-02-08,IMPS,2952.82
T400094,C103131,2026-01-10,POS,2532.33
T400095,C100674,2025-11-16,ATM,11008.76
T400096,C102669,2025-08-16,UPI,2968.59
T400097,C103285,2025-04-05,NEFT,2423.61
T400098,C103336,2025-11-29,POS,1197.9
T400099,C103735,2025-11-24,POS,2053.69
T400100,C103141,2025-12-17,NEFT,160.43
T400101,C104114,2025-08-08,SALARY,825.85
T400102,C101432,2026-03-15,NEFT,7158.12
T400103,C101918,2025-02-22,SALARY,6112.06
T400104,C102277,2025-09-20,POS,2112.04
T400105,C100311,2025-01-20,NEFT,2071.56
T400106,C102411,2026-02-03,NEFT,14347.71
T400107,C101227,2025-12-22,UPI,13833.73
T400108,C102468,2025-08-28,SALARY,3116.36
T400109,C104478,2025-04-26,IMPS,21769.45
T400110,C100680,2026-06-10,ATM,2265.37
T400111,C100834,2026-06-12,UPI,15912.16
T400112,C100368,2025-10-01,SALARY,3868.13
T400113,C104028,2026-07-25,UPI,15500.88
T400114,C103170,2026-06-13,NEFT,776.69
